libraries loaded!
config file loaded!
app.training_policy=results/simpleds-policy.json
app.training_output=results/simpleds-output.txt
app.test_policy=results/simpleds-policy.json
configurations defined!
brain created!
Connected to server!
Initialised agent!
Running in training mode!
[steps avg.reward epsilon avg.actions dialogues time.hrs]
37500 0.5940 0.6256 7.00 37500 0.1159
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
37600 0.6105 0.6246 7.00 37600 0.1162
37700 0.6202 0.6236 7.00 37700 0.1165
37800 0.6071 0.6226 7.00 37800 0.1169
37900 0.5855 0.6216 7.00 37900 0.1172
38000 0.5772 0.6206 7.00 38000 0.1175
38100 0.5954 0.6196 7.00 38100 0.1178
38200 0.5899 0.6186 7.00 38200 0.1181
38300 0.5787 0.6176 7.00 38300 0.1184
38400 0.5569 0.6166 7.00 38400 0.1187
38500 0.5433 0.6156 7.00 38500 0.1190
38600 0.5261 0.6146 7.00 38600 0.1193
38700 0.5330 0.6136 7.00 38700 0.1197
38800 0.5534 0.6126 7.00 38800 0.1200
38900 0.5572 0.6116 7.00 38900 0.1203
39000 0.5790 0.6106 7.00 39000 0.1206
39100 0.5735 0.6096 7.00 39100 0.1209
39200 0.5649 0.6086 7.00 39200 0.1212
39300 0.5595 0.6076 7.00 39300 0.1215
39400 0.5602 0.6066 7.00 39400 0.1218
39500 0.5588 0.6056 7.00 39500 0.1221
39600 0.5633 0.6046 7.00 39600 0.1224
39700 0.5623 0.6036 7.00 39700 0.1228
39800 0.5559 0.6026 7.00 39800 0.1231
39900 0.5753 0.6016 7.00 39900 0.1234
40000 0.5490 0.6006 7.00 40000 0.1237
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
40100 0.5518 0.5996 7.00 40100 0.1240
40200 0.5530 0.5986 7.00 40200 0.1243
40300 0.5646 0.5976 7.00 40300 0.1246
40400 0.5732 0.5966 7.00 40400 0.1249
40500 0.5789 0.5956 7.00 40500 0.1252
40600 0.5805 0.5946 7.00 40600 0.1256
40700 0.5653 0.5936 7.00 40700 0.1259
40800 0.5764 0.5926 7.00 40800 0.1262
40900 0.5858 0.5916 7.00 40900 0.1265
41000 0.6204 0.5906 7.00 41000 0.1268
41100 0.6241 0.5896 7.00 41100 0.1271
41200 0.6399 0.5886 7.00 41200 0.1274
41300 0.6435 0.5876 7.00 41300 0.1277
41400 0.6362 0.5866 7.00 41400 0.1280
41500 0.6207 0.5856 7.00 41500 0.1283
41600 0.6124 0.5846 7.00 41600 0.1287
41700 0.6126 0.5836 7.00 41700 0.1290
41800 0.6186 0.5826 7.00 41800 0.1293
41900 0.6075 0.5816 7.00 41900 0.1296
42000 0.5918 0.5806 7.00 42000 0.1299
42100 0.5864 0.5796 7.00 42100 0.1302
42200 0.5782 0.5786 7.00 42200 0.1305
42300 0.5678 0.5776 7.00 42300 0.1308
42400 0.5497 0.5766 7.00 42400 0.1311
42500 0.5590 0.5756 7.00 42500 0.1314
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
42600 0.5664 0.5746 7.00 42600 0.1317
42700 0.5730 0.5736 7.00 42700 0.1321
42800 0.5625 0.5726 7.00 42800 0.1324
42900 0.5668 0.5716 7.00 42900 0.1327
43000 0.5509 0.5706 7.00 43000 0.1330
43100 0.5444 0.5696 7.00 43100 0.1333
43200 0.5719 0.5686 7.00 43200 0.1336
43300 0.5813 0.5676 7.00 43300 0.1339
43400 0.5945 0.5666 7.00 43400 0.1342
43500 0.6051 0.5656 7.00 43500 0.1345
43600 0.6092 0.5646 7.00 43600 0.1348
43700 0.5963 0.5636 7.00 43700 0.1352
43800 0.5828 0.5626 7.00 43800 0.1355
43900 0.5616 0.5616 7.00 43900 0.1358
44000 0.5695 0.5606 7.00 44000 0.1361
44100 0.5734 0.5596 7.00 44100 0.1364
44200 0.5414 0.5586 7.00 44200 0.1367
44300 0.5450 0.5576 7.00 44300 0.1370
44400 0.5347 0.5566 7.00 44400 0.1373
44500 0.5350 0.5556 7.00 44500 0.1376
44600 0.5533 0.5546 7.00 44600 0.1379
44700 0.5636 0.5536 7.00 44700 0.1382
44800 0.5685 0.5526 7.00 44800 0.1386
44900 0.5752 0.5516 7.00 44900 0.1389
45000 0.5909 0.5506 7.00 45000 0.1392
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
45100 0.5885 0.5496 7.00 45100 0.1395
45200 0.5871 0.5486 7.00 45200 0.1398
45300 0.5923 0.5476 7.00 45300 0.1401
45400 0.5929 0.5466 7.00 45400 0.1404
45500 0.5858 0.5456 7.00 45500 0.1407
45600 0.5711 0.5446 7.00 45600 0.1410
45700 0.5827 0.5436 7.00 45700 0.1413
45800 0.5902 0.5426 7.00 45800 0.1417
45900 0.5957 0.5416 7.00 45900 0.1420
46000 0.5809 0.5406 7.00 46000 0.1423
46100 0.5653 0.5395 7.00 46100 0.1426
46200 0.5643 0.5385 7.00 46200 0.1429
46300 0.5676 0.5375 7.00 46300 0.1432
46400 0.5867 0.5365 7.00 46400 0.1435
46500 0.5944 0.5355 7.00 46500 0.1438
46600 0.5966 0.5345 7.00 46600 0.1441
46700 0.5827 0.5335 7.00 46700 0.1445
46800 0.5767 0.5325 7.00 46800 0.1448
46900 0.5558 0.5315 7.00 46900 0.1451
47000 0.5629 0.5305 7.00 47000 0.1454
47100 0.5940 0.5295 7.00 47100 0.1457
47200 0.6161 0.5285 7.00 47200 0.1460
47300 0.5879 0.5275 7.00 47300 0.1463
47400 0.5679 0.5265 7.00 47400 0.1466
47500 0.5914 0.5255 7.00 47500 0.1469
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
47600 0.5843 0.5245 7.00 47600 0.1473
47700 0.6034 0.5235 7.00 47700 0.1476
47800 0.6311 0.5225 7.00 47800 0.1479
47900 0.6345 0.5215 7.00 47900 0.1482
48000 0.6439 0.5205 7.00 48000 0.1485
48100 0.6174 0.5195 7.00 48100 0.1488
48200 0.6099 0.5185 7.00 48200 0.1491
48300 0.6221 0.5175 7.00 48300 0.1494
48400 0.6476 0.5165 7.00 48400 0.1497
48500 0.6196 0.5155 7.00 48500 0.1500
48600 0.5972 0.5145 7.00 48600 0.1504
48700 0.5571 0.5135 7.00 48700 0.1507
48800 0.5246 0.5125 7.00 48800 0.1510
48900 0.5592 0.5115 7.00 48900 0.1513
